permit_number,facility,address,city,state,zipcode,latitude,longitude
1-32622,Fulton County Jail Officer's Dining Area Downstair,901 Rice ST,Atlanta,GA,30305,33.7789771,-84.4236603
1-32632,Sadie G. Mays Health And Rehabilitation Center,1821 Anderson AVE NW,Atlanta,GA,30314,33.7560109,-84.4470495
1-32643,Checkers @ Peachtree Center,233 Peachtree ST NE STE B46,Atlanta,GA,30303,33.7607284,-84.3866731
1-32645,"Bole Ethiopian Restaurant, Inc.",1650 Virginia AVE,College Park,GA,30337,33.6589279,-84.4429625
1-32649,This Is It BBQ & Seafood,6045 Old National HWY STE 201,College Park,GA,30349,33.5897411,-84.4692538
1-32651,Wild Wing Cafe,5530 Windward PKWY STE E 800,Alpharetta,GA,30004,34.0887164,-84.2677097
1-32671,Daquiri/Coffee-L05,285 Andrew Young International BLVD NW,Atlanta,GA,30313,33.7608222,-84.4011801
1-32675,Daquiri/Coffee- L31,285 Andrew Young International BLVD NW,Atlanta,GA,30313,33.7608222,-84.4011801
1-32680,"Zaxby's - The Londonberry Group, LLC",6801 Shannon WAY,Union City,GA,30291,33.5699959,-84.5393048
1-32685,Douceur De France,1173 Alpharetta ST,Roswell,GA,30075,34.0305540,-84.3537736
1-32691,China 1,3530 Camp Creek PKWY STE 130,Eastpoint,GA,30344,33.6551497,-84.5049645
1-32695,Christian City,7300 Lester RD,Union City,GA,30291,33.5564292,-84.5227514
1-32698,Wing And Fish Georgia,216 Broad ST STE C,Fairburn,GA,30213,33.5700650,-84.5760157
1-32700,American Deli,1624 Donald Lee Hollowell PKWY STE 105,Atlanta,GA,30318,33.7721124,-84.4413074
1-32708,El Zarape Mexican Restaurant,880 Atlanta ST,Roswell,GA,30075,34.0224446,-84.3618860
1-32713,New China,920 Marietta HWY STE 310,Roswell,GA,30075,34.0052401,-84.3889465
1-32717,Hobnob Neighborhood Tavern,1551 Piedmont AVE,Atlanta,GA,30324,33.7967434,-84.3690116
1-32717,Lazy Llama Cantina,1551 Piedmont AVE,Atlanta,GA,30324,33.7967434,-84.3690116
1-32719,Sushi Bar Sarku Japan,3393 Peachtree RD NE STE K-113,Atlanta,GA,30326,33.8463350,-84.3635778
(1-3272),Wendy's,1568 Holcomb Bridge RD,Roswell,GA,30076,34.0187477,-84.3130924
1-32721,Georgia Cafe,600 W Peachtree ST NW STE 40,Atlanta,GA,30308,33.7707384,-84.3877969
1-32722,West Egg Cafe,1100 Howell Mill RD STE 190,Atlanta,GA,30318,33.7848403,-84.4125345
1-32726,Hans Chinese Food Carry Out,798 James Jackson PKWY,Atlanta,GA,30318,33.7770158,-84.4743865
1-32738,Ribalta,1080 Peachtree ST NE STE 9,Atlanta,GA,30309,33.7839725,-84.3841840
(1-3274),Wendy's,2096 Metropolitan PKWY,Atlanta,GA,30315,33.6975046,-84.4077665
1-32744,Grant Park Coffeehouse,753-A Cherokee AVE SE,Atlanta,GA,30315,33.7337941,-84.3738573
1-32745,Crowne Plaza Atlanta Airport - Benton Restaurant,1325 Virginia AVE,Atlanta,GA,30344,33.6602364,-84.4316266
1-32746,Crowne Plaza Atlanta Airport - Lobby Bar,1325 Virginia AVE,Atlanta,GA,30344,33.6602364,-84.4316266
(1-3277),Wendy's,3675 Cascade RD,Atlanta,GA,30331,33.7237960,-84.5077786
(1-3278),Wendy's,4307 State Bridge RD,Alpharetta,GA,30022,34.0577894,-84.2335189
(1-3284),Wendy's,11855 Alpharetta HWY,Roswell,GA,30076,34.0659183,-84.3150449
(1-3302),Westminister School,1424 West Paces Ferry RD,Atlanta,GA,30327,33.8476086,-84.4334235
(1-3303),Westminster Campus Center,1424 West Paces Ferry RD,Atlanta,GA,30327,33.8476086,-84.4334235
(1-3310),Wieuca Rd Baptist Church,3626 Peachtree RD,Atlanta,GA,30326,33.8552287,-84.3598691
(1-3317),Willy's Mexicana Grill,4377 Roswell RD,Atlanta,GA,30342,33.8739149,-84.3801948
(1-3339),Woodland Elementary School,1130 Spalding DR,Atlanta,GA,30328,33.9613413,-84.3514937
(1-3343),Woodward Academy - High School,1680 Rugby AVE,College Park,GA,30337,33.6627924,-84.4439783
(1-3344),Woodward North,6565 Boles RD,Duluth,GA,30097,34.0330351,-84.1646575
(1-3368),"Piedmont Zesto, Inc",2469 Piedmont RD NE,Atlanta,GA,30324,33.8229125,-84.3669171
(1-3368),"Piedmont Zesto, Inc",2469 Piedmont RD N,Atlanta,GA,30324,33.8229125,-84.3669171
(1-3369),Zesto's #7,1181 East Confederate AVE,Atlanta,GA,30316,33.7238500,-84.3497270
(1-3369),Zesto's #7,1181 United AVE,Atlanta,GA,30316,33.7238600,-84.3497478
(1-37),"A G Rhodes Home, Inc.",350 Boulevard SE,Atlanta,GA,30312,33.7450765,-84.3669377
1-403*,Blimpies,1509 Virginia AVE,Atlanta,GA,30337,33.6597057,-84.4382311
(1-41),A. Phillip Randolph Elementary School,5320 Campbellton,Atlanta,GA,30331,33.7042205,-84.5608725
1-411*,Blue Ridge Grill,1261 West Paces Ferry RD,Atlanta,GA,30327,33.8496473,-84.4292192
1-421*,Bone's Restaurant,3130 Piedmont RD,Atlanta,GA,30305,33.8421009,-84.3710984
(1-43),Aa Synagogue Meat Kitchen,600 Peachtree Battle,Atlanta,GA,30327,33.8233671,-84.4089772
(1-44),Aa Synagogue Milk Kit,600 Peachtree Battle,Atlanta,GA,30327,33.8233671,-84.4089772
1-449*,Brookview Elementary School,3250 Hammarkskjold DR,Eastpoint,GA,30344,33.6464666,-84.4958346
1-450*,Brookwood Grill,880 Holcomb Bridge RD STE A,Roswell,GA,30076,34.0297860,-84.3356349
1-456*,Brunswick Roswell Lanes Lounge,785 Old Roswell RD,Roswell,GA,30076,34.0342154,-84.3387046
1-457*,Brunswick Roswell Lanes Snack,785 Old Roswell RD,Roswell,GA,30076,34.0342154,-84.3387046
1-457*,Bowlero Roswell (Snack),785 Old Roswell RD,Roswell,GA,30076,34.0342154,-84.3387046
1-459*,Bucket Shop Cafe,3475 Lenox RD,Atlanta,GA,30326,33.8493420,-84.3606949
1-462*,Corner Cafe,3070 Piedmont RD,Atlanta,GA,30305,33.8391860,-84.3696071
1-464*,Buckhead Diner,3073 Piedmont RD N,Atlanta,GA,30305,33.8394056,-84.3687036
1-476*,Bullpen,735 Pollard BLVD SW,Atlanta,GA,30315,33.7348289,-84.3913686
(1-5),103 West Restaurant,103 West Paces Ferry RD,Atlanta,GA,30305,33.8415646,-84.3836507
(1-5),103 West Restaurant,103 West Paces Ferry RD,Atlanta,GA,30318,33.8415646,-84.3836507
1-518*,Cafe 1117,1117 Perimeter Center West - Suite,Atlanta,GA,30338,33.9306528,-84.3526440
1-519*,Cafe 1475,1475 Peachtree ST NE,Atlanta,GA,30309,33.7951880,-84.3877599
(1-54),Afro Dish,209 Edgewood AVE STE 126,Atlanta,GA,30303,33.7540215,-84.3799140
1-549*,Cafe Sunflower,5975 Roswell RD STE 353,Atlanta,GA,30328,33.9185294,-84.3779011
1-572*,Campbell Elementary School,290 Fairview DR,Fairburn,GA,30213,33.5728345,-84.5744881
1-580,Canterbury Court,3750 Peachtree RD N,Atlanta,GA,30319,33.8565749,-84.3506311
1-586*,Capital City Club Bar,53 West Brookhaven DR NE,Atlanta,GA,30319,33.8644713,-84.3500438
1-587*,Capital City Club Pl S/b,53 West Brookhaven DR NE,Atlanta,GA,30319,33.8644713,-84.3500438
1-588*,Capital City Club Rest,7 John Portman BLVD,Atlanta,GA,30303,33.7612162,-84.3879201
1-591*,Capital City Kitchen,53 West Brookhaven DR N,Atlanta,GA,30319,33.8644713,-84.3500438
1-606*,Caribou Coffee,3255 Peachtree RD,Atlanta,GA,30305,33.8432439,-84.3707126
(1-62),Aldo's Italian Restaurant,6690 Roswell RD STE 2120 BldgF,Atlanta,GA,30328,33.9379027,-84.3801603
1-628,Carrie Steele Pitts Home,667 Fairburn RD,Atlanta,GA,30331,33.7364536,-84.5106476
1-634*,Cascade East Point Elk Lodge #,7090 Oakley Industrial BLVD,Union City,GA,30291,33.5637240,-84.5250041
1-662*,Chaplins,555 South Atlanta ST STE B-100,Roswell,GA,30075,34.0133070,-84.3622556
1-669,Charlie Pero's Pizza,3521 Northside PKWY NW,Atlanta,GA,30327,33.8509891,-84.4290523
1-676,Checker's #1144,2841 Greenbriar PKWY,Atlanta,GA,30311,33.6884093,-84.4918595
1-678,Checker's #626,3169 Camp Creek PKWY,Eastpoint,GA,30334,33.6542743,-84.4936012
1-690*,Cheetah III Lounge,887 Spring ST NW,Atlanta,GA,30308,33.7793325,-84.3883306
1-722*,Chick Fil-A,2180 North Point CIR,Alpharetta,GA,30022,34.0501113,-84.2969664
1-724,Chick-Fil-A,4285 State Bridge RD,Alpharetta,GA,30022,34.0571760,-84.2329221
1-726*,Chick-Fil-A #448,8475 Holcomb Bridge RD,Alpharetta,GA,30022,33.9867043,-84.2704910
1-727*,Chick-fil-a #458,1942 Howell Mill RD,Atlanta,GA,30318,33.8076585,-84.4130605
1-730,Chick-Fil-A #636,1145 Mount Vernon HWY,Atlanta,GA,30338,33.9340429,-84.3499814
1-733,Chick-Fil-A #931,3419 Northside PKWY,Atlanta,GA,30327,33.8474577,-84.4288164
1-740,Chili's,7800 North Point PKWY,Alpharetta,GA,30022,34.0388356,-84.3053888
1-742*,Chin Chin II Chinese Restaurant,699 Ponce De Leon AVE STE 18,Atlanta,GA,30308,33.7729192,-84.3640217
1-745*,China Cafeteria,609 Cascade AVE SW,Atlanta,GA,30310,33.7389591,-84.4346213
(1-75),Alpha Delta Pi Sorority Kitchen,729 Brittain DR,Atlanta,GA,30313,33.7745783,-84.3928464
1-751*,China Garden,657 Holcomb Bridge RD,Roswell,GA,30075,34.0334341,-84.3423323
1-769,Chops Restaurant,3060 Peachtree RD,Atlanta,GA,30305,33.8392815,-84.3806618
(1-80),Alpharetta Swimming Pool Concession (seasonal),1815 Old Milton PKWY,Alpharetta,GA,30004,34.0705833,-84.3055805
(1-81),Altobeli,3000 Old Alabama RD,Alpharetta,GA,30201,34.0227538,-84.2712929
1-813,City Of East Point Jail Kitchen,2727 East Point ST,Eastpoint,GA,30344,33.6806138,-84.4421688
1-818*,Clarks Colonnade Restaurant,1879 Cheshire Bridge RD,Atlanta,GA,30324,33.8092456,-84.3610046
(1-84),AMC Theatres Buckhead Backlot 6,3340 Peachtree RD,Atlanta,GA,30326,33.8466728,-84.3682956
(1-85),AMC Theatres Mansell Crossing 14,7730 North Point PKWY,Alpharetta,GA,30022,34.0389813,-84.3036577
1-859*,Community Friendship,85 Renaissance PKWY,Atlanta,GA,30308,33.7684594,-84.3845536
1-862*,Concourse Athletic Club,8 Concourse PKWY NE,Atlanta,GA,30328,33.9163543,-84.3552729
1-864*,Conley Hills Elementary School,2580 Delowe DR,Eastpoint,GA,30344,33.6850173,-84.4568508
1-865,Country Inn & Suites - Continental Breakfast,759 Pollard BLVD SW,Atlanta,GA,30315,33.7340381,-84.3912044
1-872,Copeland's Deli,5461 Meridian Mark Rd Ste 150,Atlanta,GA,30342,33.9052200,-84.3544139
1-883*,Country Club Of Roswell Halfway House,2500 Club Springs DR,Roswell,GA,30076,34.0237786,-84.2835501
1-896*,Uncle Woody's II (South),3850 Jonesboro RD,Atlanta,GA,30354,33.6499513,-84.3649869
1-898*,Cowtippers,1595 Piedmont RD,Atlanta,GA,30324,33.8080596,-84.3658903
1-901*,Crabapple Crossing Elementary,12765 Birmingham HWY,Alpharetta,GA,30202,34.0955954,-84.3379561
1-914*,Cross Creek Cafe,1221 Cross Creek PKWY,Atlanta,GA,30327,33.8212865,-84.4274010
1-915,Crossroads Ministries,420 Courtland ST,Atlanta,GA,30308,33.7661370,-84.3842561
1-916,112 Mega-Plex The Crowe's Nest,5495 Old National HWY STE B-13,College Park,GA,30349,33.6058707,-84.4727180
1-925*,D & D Bar-B-Que,1975 Sylvan RD,Atlanta,GA,30310,33.7006459,-84.4185181
1-938*,Dairy Queen,1260 Alpharetta ST,Roswell,GA,30075,34.0331022,-84.3506927
(1-96),AMC Theatres Phipps Plaza 14,3500 Peachtree RD,Atlanta,GA,30326,33.8525865,-84.3619899
1-969*,Deli Market Cafe,4403 Northside Pkwy Suite 170,Atlanta,GA,30327,33.8671166,-84.4498383
1-981*,Diamond Hall Conference Center,5495 Old National HWY,College Park,GA,30349,33.6058707,-84.4727180
1-997*,Doc Chey's Noodle House,1424 North Highland AVE,Atlanta,GA,30306,33.7932552,-84.3518561
2-31394,Rahim's On Wheels,4485 Campbellton RD,Atlanta,GA,30331,33.6965066,-84.5349533
2-31413,Wet Willie's,2450 Piedmont RD NE,Atlanta,GA,30324,33.8228857,-84.3677590
2-31413,B51 Restaurant & Bar,2450 Piedmont RD NE,Atlanta,GA,30324,33.8228857,-84.3677590
2-31427,Woodward Academy Snack Bar & Concessions,1576 Walker AVE,College Park,GA,30337,33.6629143,-84.4408152
2-31427,Woodward Academy Snack Bar & Concessions,1575 Walker AVE,College Park,GA,30337,33.6642289,-84.4405076
2-31436,Meehan's Public House,200 Peachtree ST,Atlanta,GA,30303,33.7489504,-84.3943303
2-31436,Meehan's Public House,200 Peachtree ST NW,Atlanta,GA,30303,33.7590292,-84.3878560
2-31437,Power Smoothies,2660 Godby,College Park,GA,30337,33.6152635,-84.4754155
2-31440,American Wing & Deli,199 Mitchell ST,Atlanta,GA,30303,33.7518136,-84.3940574
2-31449,Judy's Restaurant,38 Hudson,Fairburn,GA,30213,33.4562959,-84.4536415
2-31450,Iron Skillet,3181 Donald Lee Hollowell PKWY,Atlanta,GA,30318,33.7865218,-84.4902938
2-31451,Sodexo @ UPS Headquarters Cafe 35,35 Glenlake Parkway,Atlanta,GA,30328,33.9391366,-84.3593664
2-31453,Subway,2202 North Point Circle,Alpharetta,GA,30022,34.0500949,-84.2970206
2-31468,Loews Atlanta Hotel (Banquet Kitchen),1065 Peachtree ST,Atlanta,GA,30309,33.7833563,-84.3832007
2-31469,Saltwood (Main Kitchen),1065 Peachtree ST,Atlanta,GA,30309,33.7833563,-84.3832007
2-31469,Saltwood (Main Kitchen),1065 Peachtree ST NE,Atlanta,GA,30309,33.7833563,-84.3832007
2-31470,Loews Atlanta Hotel (Employee Cafeteria),1065 Peachtree ST NE,Atlanta,GA,30309,33.7833563,-84.3832007
2-31471,Loews Atlanta Hotel (Market Eleven),1065 Peachtree ST NE,Atlanta,GA,30309,33.7833563,-84.3832007
2-31472,Paschal's Restaurant,180-B Northside DR,Atlanta,GA,30312,33.7594706,-84.4030001
2-31475,Baja Fresh,250 Park Avenue West NW STE 102,Atlanta,GA,30313,33.7615487,-84.3950628
2-31480,Adesa Diner,5055 Oakley Industrial BLVD,Fairburn,GA,30213,33.5437367,-84.5504475
2-31500,Little Caesar's,12850 Highway 9 N STE 800,Alpharetta,GA,30004,34.0962464,-84.2781623
2-31501,Fresco Art Galerie And Cafe,11164 State Bridge STE 5 & 6,Johns Creek,GA,30022,34.0533537,-84.2286205
2-31503,Sarku Japan,3393 Peachtree NE STE 1013,Atlanta,GA,30326,33.8450944,-84.3611980
2-31510,Outback Steakhouse,655 Crossville,Roswell,GA,30075,34.0581262,-84.3795444
2-31512,A Town Wings,2644 Metropolitan PKWY,Atlanta,GA,30315,33.6822917,-84.4073971
2-31536,Johnny's New York Style Pizza,7887 Roswell STE A,Sandy Springs,GA,30350,33.9726572,-84.3573473
2-31538,Ziba's Restaurant And Wine Bar,560 & 562 Boulevard SE,Atlanta,GA,30312,38.6555545,-90.3102847
2-31540,Glenn Hotel,110 Marietta ST NW,Atlanta,GA,30303,33.7569866,-84.3929901
2-31560,Farmer's Basket,2204 North Point CIR,Alpharetta,GA,30022,34.0500934,-84.2970255
2-31565,Max's Coal Oven Pizzeria,300 Marietta ST,Atlanta,GA,30313,33.7614221,-84.3962946
2-31566,Stats Restaurant,300 Marietta ST,Atlanta,GA,30313,33.7614221,-84.3962946
2-31568,Tin Lizzy's- Midtown,1136 Crescent AVE,Atlanta,GA,30309,33.7857440,-84.3845340
2-31573,Gizmo's Bar & Grill,24 West Broad ST,Fairburn,GA,30213,33.5674716,-84.5810285
2-31576,Tokyo Boat,910 Woodstock STE 120,Roswell,GA,30075,34.0609968,-84.3892338
2-31581,Pemberton Cafe At Pemberton Place,121 Baker ST,Atlanta,GA,30313,33.7627423,-84.3926638
2-31582,Pizza Hut,1955 Campbellton STE B,Atlanta,GA,30311,33.7086047,-84.4531806
2-31583,Pizza Hut,3695-C Cascade,Atlanta,GA,30331,33.7249760,-84.5083727
2-31585,Pizza Hut,6055 Old National HWY STE B,College Park,GA,30349,33.5904107,-84.4700942
2-31587,Pizza Hut,3126 Washington,Eastpoint,GA,30344,33.6701376,-84.4622013
2-31591,"Chapman Drug Co., Inc.",615 North Central AVE,Hapeville,GA,30354,33.6592003,-84.4091208
2-31595,Pizza Hut,460 North AVE,Atlanta,GA,30308,33.7713872,-84.3719273
2-31598,Mr. Bill's Westside Wings,683 Cascade RD,Atlanta,GA,30310,33.7231981,-84.4504123
2-31600,Yeah ! Burger,1168 Howell Mill RD NW,Atlanta,GA,30318,33.7851685,-84.4120033
2-31606,Cherokee Town & Country Club- Williams Room Bar,155 W Paces Ferry NW,Atlanta,GA,30305,33.8452212,-84.3887249
2-31654,Beef Grill Restaurant,8599 Roswell RD STE C-2,Roswell,GA,30350,33.9887843,-84.3508655
2-31655,Pipiolo Mexican Cafe,4842 Fulton Industrial BLVD,Atlanta,GA,30336,33.7550000,-84.5447222
2-31659,Comfort Inn,795 Pollard BLVD,Atlanta,GA,30315,33.7330170,-84.3912930
2-31664,Subway,5819 Campbellton SW STE 201,Atlanta,GA,30331,33.6995897,-84.5783891
2-31665,200 Peachtree,200 Peachtree ST,Atlanta,GA,30303,33.7489504,-84.3943303
2-31667,Woody's Famous Phili Cheese Steaks,981 Monroe DR,Atlanta,GA,30308,33.7809418,-84.3687241
2-31670,Subway,6370 Powers Ferry STE 104,Atlanta,GA,30339,33.9043087,-84.4304779
2-31675,Waffle House #1885,66 5th ST,Atlanta,GA,30308,33.7766569,-84.3894624
2-31680,Sushi Bar Yu-Ka,3330 Piedmont NE,Atlanta,GA,30305,33.8456113,-84.3729013
2-31683,Saxby's Coffee,100 Decatur ST STE N190,Atlanta,GA,30303,33.7522537,-84.3869758
2-31684,Buckhead Saloon,3227 Roswell,Atlanta,GA,30305,33.8429107,-84.3790427
2-31685,US Cafe,2591 Piedmont UNIT 102,Atlanta,GA,30324,33.8248113,-84.3668698
2-31693,ALO II LLC dba Subway,8420 Senoia STE 107,Fairburn,GA,30213,33.5272859,-84.5751972
2-31700,Home Grown GA,968 Memorial DR,Atlanta,GA,30316,33.7467729,-84.3559507
2-31708,Roux On Canton,946 Canton ST,Roswell,GA,30075,34.0243110,-84.3616703
2-31710,Taco's And Tequilas,4279 Roswell STE 103,Atlanta,GA,30342,33.8716466,-84.3799550
2-31712,Studio Movie Grill,2880 Holcomb Bridge,Roswell,GA,30022,33.9907089,-84.2749540
2-31714,Saltwood Bar,1065 Peachtree ST NE,Atlanta,GA,30309,33.7833563,-84.3832007
2-31715,Ihop,428 Ponce De Leon AVE NE,Atlanta,GA,30308,33.7733459,-84.3733851
2-31719,"Chef's Menu, LLC",770 Techwood DR SE,Atlanta,GA,30313,33.7755670,-84.3921688
2-31720,Feldwood Elementary School,5790 Feldwood RD,College Park,GA,30349,33.5978520,-84.5139443
2-31721,Republic Social House,437C Memorial DR,Atlanta,GA,30312,33.7465977,-84.3732272
(2-31722),On The Border,1 Buckhead LOOP STE 130,Atlanta,GA,30326,33.8507443,-84.3704695
2-31726,Hibachi Express,11770 Haynes Bridge STE 104,Alpharetta,GA,30009,34.0693559,-84.2946945
2-31727,Googie Burger,265 Park Avenue West NW,Atlanta,GA,30313,33.7618207,-84.3945295
2-31736,"Atlanta Youth Academies, Inc.",2120 Forrest SE,Atlanta,GA,30315,33.6944050,-84.3586110
2-31737,GA Magnet Charter Sch/Hapeville Career Acad High Sch,6045 Buffington BLDG A,Union City,GA,30349,33.5922106,-84.4987850
2-31738,Highland Bakery Midtown At 1180,1180 Peachtree ST NE STE L-C,Atlanta,GA,30309,33.7869284,-84.3840985
2-31743,City Garden,557 North Central AVE,Hapeville,GA,30354,33.6580395,-84.4070483
2-31749,Bulgogi,231 Peachtree ST NE STE B-71B,Atlanta,GA,30303,33.7602091,-84.3870153
2-31749,Bistro 7 LLC,231 Peachtree ST NE STE B-71B,Atlanta,GA,30303,33.7602091,-84.3870153
2-31750,Something Special,1665 Jonesboro RD,Atlanta,GA,30315,33.7066411,-84.3797703
2-31754,Marcos Pizza,1590 Holcomb Bridge RD STE 300,Roswell,GA,30076,34.0156680,-84.3088788
2-31757,Royal Peacock Club,186 1/2 Auburn AVE,Atlanta,GA,30303,33.7559948,-84.3882056
2-31760,Five Guys Burgers & Fries,5230 Windward PKWY STE 104,Alpharetta,GA,30004,34.0912539,-84.2752008
(2-31762),On The Border,10575 Davis DR,Alpharetta,GA,30009,34.0405540,-84.3142228
(2-31765),The Flying Biscuit Cafe,10779 Alpharetta HWY STE 210,Roswell,GA,30076,34.0421279,-84.3399082
(2-31768),180 Degrees Kitchen,1300 Joseph E. Boone BLVD,Atlanta,GA,30314,33.7622261,-84.4305952
2-31775,Intercontinental Buckhead Banquet,3315 Peachtree ST,Atlanta,GA,30326,33.8456503,-84.3682057
2-31777,Bourbon Bar,3315 Peachtree RD,Atlanta,GA,30326,33.8456024,-84.3682565
2-31778,Intercontinental Buckhead Main,3315 Peachtree RD,Atlanta,GA,30326,33.8456024,-84.3682565
2-31779,Georgia Tech - Chick-Fil-A Wenn Student Center,350 Ferst DR NW 1st Floor Commons,Atlanta,GA,30332,33.7738570,-84.3987740
2-31780,Intercontinental Buckhead Atlanta Employee Cafeter,3315 Peachtree RD NE,Atlanta,GA,30326,33.8456503,-84.3682057
2-31784,Hammer's Beach Bar,898 Virginia AVE,Hapeville,GA,30354,33.6585729,-84.4188669
2-31785,Rusan's Tower Place,3365 Piedmont RD STE 1140,Atlanta,GA,30305,33.8480075,-84.3714551
2-31786,Rising Roll Gourmet,113 Peachtree ST NE,Atlanta,GA,30303,33.7566178,-84.3880254
2-31794,Lenny's Sub Shop,1605 Mansell RD STE A,Alpharetta,GA,30009,34.0395445,-84.3186620
2-31803,Kampai Sushi & Hibachi,9700 Medlock Bridge RD,Johns Creek,GA,30099,34.0175527,-84.1923682
2-31804,Country Club Of The South,4100 Old Alabama RD,Alpharetta,GA,30022,34.0160887,-84.2404748
2-31808,The Greater Good,4441 Roswell RD,Atlanta,GA,30342,33.8763989,-84.3801678
2-31812,Lucky's Burger & Brew,1144 Alpharetta ST STE 100,Roswell,GA,30075,34.0301578,-84.3555399
2-31814,KIPP Vision Academy,660 McWilliams RD SE,Atlanta,GA,30354,33.6891453,-84.3669787
FSP-060-000004,Alpine Bakery 1 LLC,12315 Crabapple RD STE 100,Alpharetta,GA,30004,34.0828154,-84.3552729
FSP-060-000014,The Daiquiri Factory,889 West Peachtree ST,Atlanta,GA,30309,33.7790951,-84.3869348
FSP-060-000017,Breadwinner Bakery & Cafe,220 Sandy Springs CIR STE 195,Atlanta,GA,30328,33.9249558,-84.3838556
FSP-060-000019,Hal's on Old Ivy,30 Old Ivy RD,Atlanta,GA,30342,33.8546887,-84.3816795
FSP-060-000020,Hal's on Old Ivy- Upstairs Kitchen,30 Old Ivy RD,Atlanta,GA,30342,33.8546887,-84.3816795
FSP-060-000042,Waffle House,100 Piedmont AVE SE,Atlanta,GA,30303,33.7510285,-84.3855813
FSP-060-000044,Cafe Bakery/Starbucks,3242 Peachtree RD NE,Atlanta,GA,30305,33.8439094,-84.3730977
FSP-060-000046,Southside Wings,5330 Old National HWY STE A,College Park,GA,30349,33.6105426,-84.4709552
FSP-060-000049,"Palomilla's Grill Inc,",11030 Medlock Bridge RD STE 210,Johns Creek,GA,30092,34.0508033,-84.1763184
FSP-060-000058,Zoe's Kitchen,3655 Roswell RD STE 100,Atlanta,GA,30342,33.8551535,-84.3818643
FSP-060-000059,Little Caesar's,8351 Roswell RD,Sandy Springs,GA,30350,33.9831678,-84.3489673
FSP-060-000062,Marriott Marquis M-Store,265 Peachtree Center AVE,Atlanta,GA,30303,33.7615950,-84.3855796
FSP-060-000063,Taste of Asia,303 Peachtree Center AVE STE BL-8a,Atlanta,GA,30303,33.7626111,-84.3869592
FSP-060-000065,Jersey Mike's Subs,4075 Old Milton PKWY STE 6,Alpharetta,GA,30005,34.0599323,-84.2422445
FSP-060-000073,Pizza Hut Express,375 18th ST,Atlanta,GA,30363,33.7932856,-84.3993367
FSP-060-000075,Sake Japanese Steak House,1155 Woodstock RD STE 1030,Roswell,GA,30075,34.0631272,-84.3993526
FSP-060-000082,191 Club,191 Peachtree ST NE,Atlanta,GA,30303,33.7590348,-84.3866860
FSP-060-000086,J.R. Crickets,4550 Jonesboro RD STE C,Union City,GA,30291,33.5661702,-84.5369627
FSP-060-000090,Dragon House,8390 Senoia RD UNIT A,Fairburn,GA,30213,33.5287871,-84.5756065
FSP-060-000093,Sombreros Mexican Cantina,411 North Central AVE,Atlanta,GA,30354,33.6558397,-84.4022258
FSP-060-000095,Happy Buddha,1457 Virginia AVE,College Park,GA,30337,33.6595831,-84.4369600
FSP-060-000098,Subway #47648,74 Northside DR SW,Atlanta,GA,30313,33.7526129,-84.4025746
FSP-060-000107,Legal Sea Foods,275 Baker ST NW,Atlanta,GA,30313,33.7619144,-84.3956378
FSP-060-000108,Subway,5640 Northside DR,Atlanta,GA,30328,33.9078046,-84.4328573
FSP-060-000108,Sub Way,5640 Northside DR,Atlanta,GA,30328,33.9078046,-84.4328573
FSP-060-000112,Your Pie Roswell,625 W Crossville RD STE 110,Roswell,GA,30075,34.0595024,-84.3802425
FSP-060-000114,KIPP Strive Atlanta,1444 Lucille AVE SW,Atlanta,GA,30304,33.7419712,-84.4348264
FSP-060-000116,Yeah! Burger,1017 North Highland AVE,Atlanta,GA,30306,33.7821356,-84.3538968
FSP-060-000124,Wendy's,4630 Jonesboro RD,Union City,GA,30291,33.5679447,-84.5386416
FSP-060-000127,Rising Roll Gourmet,11417 Haynes Bridge RD,Alpharetta,GA,30009,34.0579023,-84.2866140
FSP-060-000135,Bagel Boys Cafe-Kimball Bridge LLC,4620 Kimball Bridge RD,Alpharetta,GA,30022,34.0611671,-84.2260271
FSP-060-000141,Courtyard by Marriott Extended Food,1132 Techwood DR,Atlanta,GA,30318,33.7854711,-84.3926629
FSP-060-000143,Induction Cart #6,285 Andrew Young International BLVD,Atlanta,GA,30313,33.7608222,-84.4011801
FSP-060-000146,Induction Cart #5,285 Andrew Young International BLVD,Atlanta,GA,30313,33.7608222,-84.4011801
FSP-060-000150,Holiday Inn Express and Suites,3833 Princeton Lakes CT,Atlanta,GA,30331,33.6573069,-84.5131985
FSP-060-000151,Local Three Kitchen & Bar,3290 Northside PKWY,Atlanta,GA,30327,33.8446963,-84.4268677
FSP-060-000158,Thumbs Up Smoke House And Commercial Kitchen,581 Edgewood AVE,Atlanta,GA,30312,33.7540620,-84.3683750
FSP-060-000159,Church,466 Edgewood AVE,Atlanta,GA,30312,33.7544770,-84.3723734
FSP-060-000160,DePalma's Italian Cafe,1201 Collier RD,Atlanta,GA,30318,33.8116126,-84.4250214
FSP-060-000161,Bier Garden 1,300 Marietta ST,Atlanta,GA,30313,33.7614221,-84.3962946
FSP-060-000164,Fairfield Inn & Suite Atlanta Airport North,1255 Walker AVE,Eastman,GA,30344,33.6631549,-84.4297734
FSP-060-000166,Rahim Chicken Supreme,2883 Lakewood AVE,Atlanta,GA,30315,33.6974950,-84.4100020
FSP-060-000170,Domino's Pizza,461 Ponce De Leon AVE,Atlanta,GA,30308,33.7730352,-84.3719660
